year,CRI_daily,CRI
2010,5.0,26.954177897574127
2011,3.8499999999999996,20.754716981132077
2012,14.549999999999999,78.4366576819407
2013,6.6,35.57951482479785
2014,11.15,60.10781671159031
2015,18.549999999999997,100.0
2016,10.2,54.98652291105122
2017,13.6,73.31536388140162
2018,6.95,37.46630727762804
2019,12.049999999999999,64.95956873315365
2020,1.15,6.199460916442049
2021,5.0,26.954177897574127
2022,11.0,59.29919137466308
2023,9.9,53.369272237196775
2024,1.55,8.35579514824798
2025,10.25,55.25606469002696
2026,2.05,11.051212938005392
